id,ts,symbol,decision,setup,entry_price,tp1,tp2,sl,ai_score,flow_score,pre_score,oi_change,rs_1h,is_compressed,status,reason,probability,market_health,news_score,btc_regime,funding,exit_reason,pnl,pnl_pct,max_profit_pct,max_drawdown_pct,trade_state,exit_price,trigger_price,duration_minutes,outcome_trigger_hit,outcome_tp1_hit,outcome_tp2_hit,outcome_sl_hit,outcome_max_up_pct,outcome_max_down_pct,outcome_checked,outcome_trigger_min,outcome_tp1_min,outcome_tp2_min,outcome_sl_min,outcome_highest_price,outcome_lowest_price,outcome_status,first_tp_hit_time,last_update_time,outcome_mfe,outcome_mae,time_to_trigger_min,time_to_tp1_min,time_to_sl_min,shadow_rs,pnl_r,mfe_r,mae_r,exit_time,direction,shadow_tags,was_executed,execution_timestamp,actual_fill_price,execution_delay_sec,skip_reason,buy_intent_time,rs_bucket,ai_bucket,first_outcome_type,ambiguous_bar,entry_candle_ambiguous,pnl_pct_method,entry_slippage_pct,tp1_alert_sent,tp2_alert_sent,sl_alert_sent
1,2026-07-20T18:23:54.897603+00:00,AKEUSDT,WATCH,,0.0,0.0,0.0,0.0,84.6,43.9,26.9,184.32,3.803,False,WATCH,R:R too low (1.07),53.3,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS>1,AI_80_100,,0,0,,,0,0,0
2,2026-07-20T18:23:54.899252+00:00,FARTCOINUSDT,WATCH,,0.0,0.0,0.0,0.0,100.0,44.5,38.7,308.73,1.7,False,WATCH,No valid setup,50.3,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS>1,AI_80_100,,0,0,,,0,0,0
3,2026-07-20T18:23:54.900861+00:00,SNXUSDT,WATCH,BREAKOUT,0.0,0.0,0.0,0.0,100.0,53.2,40.0,140.85,0.833,False,WATCH,BREAKOUT setup — waiting for trigger,47.8,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS_0.5_1,AI_80_100,,0,0,,,0,0,0
4,2026-07-20T18:23:54.902590+00:00,YBUSDT,WATCH,BREAKOUT,0.0,0.0,0.0,0.0,63.0,39.8,34.3,7425.52,1.116,False,WATCH,BREAKOUT setup — waiting for trigger,46.3,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS>1,AI_60_80,,0,0,,,0,0,0
5,2026-07-20T18:23:54.904276+00:00,TRACUSDT,WATCH,,0.0,0.0,0.0,0.0,85.0,46.3,32.3,1387.15,0.689,False,WATCH,No valid setup,45.3,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS_0.5_1,AI_80_100,,0,0,,,0,0,0
6,2026-07-20T18:31:54.856737+00:00,ALICEUSDT,PREPARE,,0.0,0.0,0.0,0.0,100.0,57.9,45.1,157.79,3.433,False,PREPARE,No valid setup,60.5,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS>1,AI_80_100,,0,0,,,0,0,0
7,2026-07-20T18:31:54.858547+00:00,AGTUSDT,WATCH,,0.0,0.0,0.0,0.0,60.5,43.9,43.0,219.11,0.483,False,WATCH,No valid setup,29.8,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS_0_0.5,AI_60_80,,0,0,,,0,0,0
8,2026-07-20T18:31:54.861004+00:00,APTUSDT,WATCH,BREAKOUT,0.0,0.0,0.0,0.0,90.5,34.8,47.1,86.35,0.098,False,WATCH,BREAKOUT setup — waiting for trigger,27.7,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS_0_0.5,AI_80_100,,0,0,,,0,0,0
9,2026-07-20T18:31:54.863402+00:00,XMRUSDT,WATCH,,0.0,0.0,0.0,0.0,84.5,34.9,40.8,219.97,-0.147,False,WATCH,No valid setup,27.1,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS<0,AI_80_100,,0,0,,,0,0,0
10,2026-07-20T18:31:54.865802+00:00,ADAUSDT,WATCH,,0.0,0.0,0.0,0.0,61.2,43.1,34.0,6.12,0.834,False,WATCH,No valid setup,23.7,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS_0.5_1,AI_60_80,,0,0,,,0,0,0
11,2026-07-20T20:04:21.537324+00:00,ORDIUSDT,PREPARE,BREAKOUT,0.0,0.0,0.0,0.0,60.0,55.0,71.6,110.78,-0.398,True,PREPARE,BREAKOUT setup — waiting for trigger,58.4,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS<0,AI_60_80,,0,0,,,0,0,0
12,2026-07-20T20:04:21.539428+00:00,AGTUSDT,BUY,DIP_BUY,0.011525,0.01210125,0.01325375,0.01141265,92.7,61.9,63.5,175.98,0.223,False,BUY,DIP_BUY trigger confirmed,47.3,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.011525,0,1,1,1,0,38.88,25.38,0,7350.6,7350.6,7350.6,,0.016006,0.01445,FINAL,7350.6,2026-07-26T06:53:22.696348,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS_0_0.5,AI_80_100,,0,0,,,0,0,0
13,2026-07-20T20:04:21.541492+00:00,JSTUSDT,WATCH,BREAKOUT,0.0,0.0,0.0,0.0,79.6,42.2,36.8,1627.02,0.712,False,WATCH,BREAKOUT setup — waiting for trigger,44.4,46.8,39.0,RANGE,0.0,,,0.0,0.0,0.0,ACTIVE,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,0.0,,0.0,0.0,0.0,0.0,0.0,UNKNOWN,,,,,LONG,[],0,,,,,,RS_0.5_1,AI_60_80,,0,0,,,0,0,0
